,real_Date,A,B
0,2018-01-02,-1,
1,2018-01-04,,0
2,2018-01-05,,1
3,2018-01-07,-1,
4,2018-01-09,,1
5,2018-01-11,1,
6,2018-01-11,,1
7,2018-01-12,,0
8,2018-01-13,-1,
9,2018-01-14,-1,
10,2018-01-18,1,
11,2018-01-18,,1
12,2018-01-20,,1
13,2018-01-21,,1
14,2018-01-24,,1
15,2018-01-28,1,
16,2018-02-01,,1
17,2018-02-02,1,
18,2018-02-05,-1,
19,2018-02-06,,-1
20,2018-02-08,1,
21,2018-02-11,1,
22,2018-02-12,,1
23,2018-02-18,0,
24,2018-02-20,-1,
25,2018-02-20,,1
26,2018-02-22,-1,
27,2018-02-23,,1
28,2018-02-28,,1
29,2018-03-01,1,
30,2018-03-02,-1,
31,2018-03-02,,-1
32,2018-03-03,1,
33,2018-03-05,,1
34,2018-03-07,1,
35,2018-03-07,,-1
36,2018-03-08,-1,
37,2018-03-10,0,
38,2018-03-10,,1
39,2018-03-11,,1
40,2018-03-12,0,
41,2018-03-14,1,
42,2018-03-15,0,
43,2018-03-15,,1
44,2018-03-21,1,
45,2018-03-22,-1,
46,2018-03-25,0,
47,2018-03-25,,-1
48,2018-03-27,,-1
49,2018-03-28,1,
50,2018-03-28,,1
51,2018-03-29,-1,
52,2018-03-31,-1,
53,2018-04-01,1,
54,2018-04-02,1,
55,2018-04-03,1,
56,2018-04-03,,1
57,2018-04-04,0,
58,2018-04-05,1,
59,2018-04-06,1,
60,2018-04-06,,1
61,2018-04-07,1,
62,2018-04-08,0,
63,2018-04-09,,1
64,2018-04-10,-1,
65,2018-04-11,,1
66,2018-04-12,1,
67,2018-04-13,,1
68,2018-04-16,-1,
69,2018-04-17,-1,
70,2018-04-18,,0
71,2018-04-19,1,
72,2018-04-20,,1
73,2018-04-21,1,
74,2018-04-22,,1
75,2018-04-23,1,
76,2018-04-24,-1,
77,2018-04-25,-1,
78,2018-04-25,,1
79,2018-04-27,1,
80,2018-04-27,,1
81,2018-05-01,-1,
82,2018-05-01,,1
83,2018-05-02,-1,
84,2018-05-03,,0
85,2018-05-04,,0
86,2018-05-05,,1
87,2018-05-08,1,
88,2018-05-09,1,
89,2018-05-09,,1
90,2018-05-13,-1,
91,2018-05-14,,1
92,2018-05-15,-1,
93,2018-05-15,,-1
94,2018-05-16,1,
95,2018-05-18,,-1
96,2018-05-19,,1
97,2018-05-21,1,
98,2018-05-22,,1
99,2018-05-23,1,
100,2018-05-25,1,
101,2018-05-26,-1,
102,2018-05-26,,-1
103,2018-05-29,-1,
104,2018-05-29,,1
105,2018-05-31,,1
106,2018-06-01,-1,
107,2018-06-01,,-1
108,2018-06-02,1,
109,2018-06-03,,1
110,2018-06-04,0,
111,2018-06-05,0,
112,2018-06-06,-1,
113,2018-06-06,,0
114,2018-06-07,-1,
115,2018-06-08,-1,
116,2018-06-08,,0
117,2018-06-10,,-1
118,2018-06-11,,-1
119,2018-06-12,,-1
120,2018-06-13,-1,
121,2018-06-13,,1
122,2018-06-14,,1
123,2018-06-15,1,
124,2018-06-16,-1,
125,2018-06-22,1,
126,2018-06-22,,-1
127,2018-06-23,1,
128,2018-06-23,,1
129,2018-06-25,1,
130,2018-06-25,,-1
131,2018-06-26,1,
132,2018-06-26,,1
133,2018-06-27,-1,
134,2018-06-29,-1,
135,2018-07-02,,-1
136,2018-07-03,,1
137,2018-07-04,,1
138,2018-07-06,,-1
139,2018-07-07,-1,
140,2018-07-09,0,
141,2018-07-10,1,
142,2018-07-10,,1
143,2018-07-11,1,
144,2018-07-12,,1
145,2018-07-13,,1
146,2018-07-14,,1
147,2018-07-18,0,
148,2018-07-18,,1
149,2018-07-19,1,
150,2018-07-20,-1,
151,2018-07-23,1,
152,2018-07-24,-1,
153,2018-07-25,1,
154,2018-07-25,,1
155,2018-07-26,,-1
156,2018-07-27,1,
157,2018-07-29,-1,
158,2018-07-31,1,
159,2018-07-31,,-1
160,2018-08-04,0,
161,2018-08-04,,1
162,2018-08-05,0,
163,2018-08-05,,1
164,2018-08-06,1,
165,2018-08-07,,1
166,2018-08-08,1,
167,2018-08-09,1,
168,2018-08-10,1,
169,2018-08-11,,0
170,2018-08-14,,1
171,2018-08-15,-1,
172,2018-08-16,,1
173,2018-08-17,0,
174,2018-08-18,-1,
175,2018-08-18,,-1
176,2018-08-20,0,
177,2018-08-21,-1,
178,2018-08-21,,-1
179,2018-08-22,1,
180,2018-08-24,-1,
181,2018-08-24,,-1
182,2018-08-25,1,
183,2018-08-27,-1,
184,2018-08-28,1,
185,2018-08-29,-1,
186,2018-08-29,,1
187,2018-08-30,0,
188,2018-08-30,,1
189,2018-09-01,-1,
190,2018-09-02,,-1
191,2018-09-03,1,
192,2018-09-05,,-1
193,2018-09-06,,-1
194,2018-09-07,,-1
195,2018-09-08,-1,
196,2018-09-09,-1,
197,2018-09-10,-1,
198,2018-09-12,,1
199,2018-09-13,1,
200,2018-09-17,,1
201,2018-09-18,0,
202,2018-09-19,-1,
203,2018-09-24,,-1
204,2018-09-25,,0
205,2018-09-26,1,
206,2018-10-01,,-1
207,2018-10-02,-1,
208,2018-10-03,0,
209,2018-10-05,,-1
210,2018-10-13,1,
211,2018-10-15,1,
212,2018-10-17,1,
213,2018-10-18,1,
214,2018-10-19,,1
215,2018-10-21,,1
216,2018-10-22,-1,
217,2018-10-22,,1
218,2018-10-23,1,
219,2018-10-23,,1
220,2018-10-24,1,
221,2018-10-25,1,
222,2018-10-29,1,
223,2018-10-30,1,
224,2018-10-30,,1
225,2018-10-31,0,
226,2018-11-01,1,
227,2018-11-02,,1
228,2018-11-03,,-1
229,2018-11-04,,1
230,2018-11-05,1,
231,2018-11-05,,-1
232,2018-11-06,,-1
233,2018-11-07,1,
234,2018-11-07,,1
235,2018-11-10,,1
236,2018-11-12,1,
237,2018-11-13,-1,
238,2018-11-13,,1
239,2018-11-17,,-1
240,2018-11-18,1,
241,2018-11-19,1,
242,2018-11-21,-1,
243,2018-11-25,1,
244,2018-11-25,,1
245,2018-11-26,,0
246,2018-11-27,-1,
247,2018-11-28,-1,
248,2018-11-29,-1,
249,2018-11-30,1,
250,2018-12-03,1,
251,2018-12-03,,1
252,2018-12-04,0,
253,2018-12-05,1,
254,2018-12-05,,1
255,2018-12-06,-1,
256,2018-12-07,-1,
257,2018-12-07,,-1
258,2018-12-08,1,
259,2018-12-08,,1
260,2018-12-10,,1
261,2018-12-11,1,
262,2018-12-11,,1
263,2018-12-12,,1
264,2018-12-13,-1,
265,2018-12-14,-1,
266,2018-12-15,,1
267,2018-12-17,-1,
268,2018-12-18,,-1
269,2018-12-19,1,
270,2018-12-21,1,
271,2018-12-23,1,
272,2018-12-24,-1,
273,2018-12-24,,-1
274,2018-12-26,,1
275,2018-12-28,0,
276,2018-12-29,-1,
277,2019-01-01,,1
278,2019-01-02,-1,
279,2019-01-02,,-1
280,2019-01-03,1,
281,2019-01-04,,1
282,2019-01-06,,1
283,2019-01-07,-1,
284,2019-01-08,-1,
285,2019-01-09,1,
286,2019-01-11,1,
287,2019-01-14,,-1
288,2019-01-15,,1
289,2019-01-18,-1,
290,2019-01-19,1,
291,2019-01-20,1,
292,2019-01-22,,1
293,2019-01-28,1,
294,2019-01-28,,-1
295,2019-01-31,1,
296,2019-02-04,,-1
297,2019-02-05,1,
298,2019-02-10,0,
299,2019-02-17,1,
300,2019-02-17,,-1
301,2019-02-20,1,
302,2019-02-24,0,
303,2019-02-25,,1
304,2019-02-26,,0
305,2019-02-27,,1
306,2019-03-02,,1
307,2019-03-09,,1
308,2019-03-10,-1,
309,2019-03-10,,1
310,2019-03-12,0,
311,2019-03-14,0,
312,2019-03-17,,1
313,2019-03-18,1,
314,2019-03-22,-1,
315,2019-03-28,,1
316,2019-03-29,1,
317,2019-03-29,,1
318,2019-03-31,,1
319,2019-04-01,-1,
320,2019-04-01,,1
321,2019-04-02,1,
322,2019-04-02,,1
323,2019-04-03,1,
324,2019-04-04,-1,
325,2019-04-05,1,
326,2019-04-06,1,
327,2019-04-06,,-1
328,2019-04-07,,1
329,2019-04-08,,-1
330,2019-04-09,-1,
331,2019-04-09,,-1
332,2019-04-10,,1
333,2019-04-11,,1
334,2019-04-14,,1
335,2019-04-15,,-1
336,2019-04-17,,-1
337,2019-04-19,1,
338,2019-04-19,,-1
339,2019-04-21,,1
340,2019-04-22,1,
341,2019-04-23,1,
342,2019-04-24,1,
343,2019-04-26,1,
344,2019-04-28,,1
345,2019-04-29,-1,
346,2019-04-30,1,
347,2019-04-30,,-1
348,2019-05-01,1,
349,2019-05-02,1,
350,2019-05-03,-1,
351,2019-05-03,,-1
352,2019-05-05,1,
353,2019-05-06,0,
354,2019-05-06,,-1
355,2019-05-08,1,
356,2019-05-08,,1
357,2019-05-09,,-1
358,2019-05-10,1,
359,2019-05-11,0,
360,2019-05-11,,-1
361,2019-05-12,,1
362,2019-05-13,1,
363,2019-05-13,,1
364,2019-05-14,1,
365,2019-05-14,,1
366,2019-05-15,,-1
367,2019-05-16,-1,
368,2019-05-19,-1,
369,2019-05-19,,-1
370,2019-05-20,0,
371,2019-05-20,,-1
372,2019-05-21,1,
373,2019-05-22,-1,
374,2019-05-23,-1,
375,2019-05-25,,0
376,2019-05-26,,1
377,2019-05-30,-1,
378,2019-05-31,1,
379,2019-05-31,,1
380,2019-06-02,1,
381,2019-06-02,,0
382,2019-06-03,1,
383,2019-06-03,,1
384,2019-06-05,,1
385,2019-06-06,,1
386,2019-06-07,0,
387,2019-06-08,-1,
388,2019-06-08,,1
389,2019-06-09,1,
390,2019-06-10,1,
391,2019-06-10,,1
392,2019-06-11,-1,
393,2019-06-12,-1,
394,2019-06-13,,1
395,2019-06-18,-1,
396,2019-06-18,,-1
397,2019-06-20,,1
398,2019-06-22,1,
399,2019-06-23,1,
400,2019-06-24,1,
401,2019-06-26,1,
402,2019-06-27,,-1
403,2019-06-28,,1
404,2019-06-29,,1
405,2019-06-30,,-1
406,2019-07-01,0,
407,2019-07-02,1,
408,2019-07-03,1,
409,2019-07-04,,1
410,2019-07-06,1,
411,2019-07-07,1,
412,2019-07-08,-1,
413,2019-07-09,-1,
414,2019-07-11,0,
415,2019-07-12,1,
416,2019-07-12,,1
417,2019-07-15,,1
418,2019-07-16,-1,
419,2019-07-18,,-1
420,2019-07-19,,1
421,2019-07-21,1,
422,2019-07-23,-1,
423,2019-07-23,,-1
424,2019-07-26,-1,
425,2019-07-28,,1
426,2019-07-29,-1,
427,2019-07-29,,-1
428,2019-07-30,1,
429,2019-08-01,-1,
430,2019-08-01,,1
431,2019-08-03,0,
432,2019-08-05,1,
433,2019-08-06,1,
434,2019-08-07,-1,
435,2019-08-08,,1
436,2019-08-11,,-1
437,2019-08-12,,1
438,2019-08-13,1,
439,2019-08-14,1,
440,2019-08-15,-1,
441,2019-08-15,,1
442,2019-08-16,,1
443,2019-08-17,,-1
444,2019-08-18,1,
445,2019-08-19,,-1
446,2019-08-20,,0
447,2019-08-21,-1,
448,2019-08-22,,1
449,2019-08-23,1,
450,2019-08-24,0,
451,2019-08-24,,1
452,2019-08-25,-1,
453,2019-08-26,,1
454,2019-08-28,1,
455,2019-08-28,,1
456,2019-08-30,-1,
457,2019-08-31,1,
458,2019-09-01,1,
459,2019-09-01,,-1
460,2019-09-02,1,
461,2019-09-03,0,
462,2019-09-03,,1
463,2019-09-04,0,
464,2019-09-05,,1
465,2019-09-06,1,
466,2019-09-06,,-1
467,2019-09-07,1,
468,2019-09-07,,1
469,2019-09-09,1,
470,2019-09-11,,1
471,2019-09-12,-1,
472,2019-09-12,,1
473,2019-09-13,1,
474,2019-09-16,0,
475,2019-09-17,1,
476,2019-09-17,,-1
477,2019-09-22,-1,
478,2019-09-25,0,
479,2019-09-25,,1
480,2019-09-26,,1
481,2019-09-27,-1,
482,2019-09-27,,1
483,2019-09-29,,-1
484,2019-09-30,1,
485,2019-10-01,,1
486,2019-10-03,,1
487,2019-10-05,1,
488,2019-10-06,0,
489,2019-10-07,1,
490,2019-10-07,,-1
491,2019-10-09,1,
492,2019-10-09,,-1
493,2019-10-10,-1,
494,2019-10-10,,1
495,2019-10-11,1,
496,2019-10-12,0,
497,2019-10-12,,1
498,2019-10-13,,1
499,2019-10-14,1,
500,2019-10-14,,-1
501,2019-10-15,,1
502,2019-10-16,,1
503,2019-10-18,,1
504,2019-10-25,-1,
505,2019-10-27,,-1
506,2019-10-29,1,
507,2019-10-30,-1,
508,2019-10-31,0,
509,2019-11-01,-1,
510,2019-11-01,,-1
511,2019-11-02,1,
512,2019-11-02,,-1
513,2019-11-04,-1,
514,2019-11-04,,1
515,2019-11-05,1,
516,2019-11-07,-1,
517,2019-11-07,,1
518,2019-11-10,1,
519,2019-11-11,1,
520,2019-11-11,,1
521,2019-11-12,,1
522,2019-11-14,1,
523,2019-11-15,,1
524,2019-11-16,1,
525,2019-11-17,0,
526,2019-11-18,1,
527,2019-11-20,1,
528,2019-11-21,-1,
529,2019-12-02,,1
530,2019-12-04,,-1
531,2019-12-06,1,
532,2019-12-07,1,
533,2019-12-07,,0
534,2019-12-08,0,
535,2019-12-10,1,
536,2019-12-11,,-1
537,2019-12-12,-1,
538,2019-12-13,1,
539,2019-12-13,,1
540,2019-12-14,-1,
541,2019-12-16,,1
542,2019-12-17,-1,
543,2019-12-18,-1,
544,2019-12-20,0,
545,2019-12-20,,1
546,2019-12-21,,0
547,2019-12-24,1,
548,2019-12-27,-1,
549,2019-12-27,,1
550,2019-12-31,1,
